Simulation time (in s),avgServedBlocksUl-SingleCell_withSecondaryGnb-masterEnb #comment:- Number of resource block (values in blocks) by enb in uplink with total reosurce blocks=50.,Simulation time (in s),avgServedBlocksUl-SingleCell_withSecondaryGnb-secondaryGnb #comment:- Number of resource block (values in blocks) by gnb in uplink with total reosurce blocks=50.
39.049,1,39.049,1
39.05,2,39.05,0
39.051,2,39.051,0
39.052,1,39.052,2
39.053,0,39.053,0
39.054,0,39.054,2
39.055,0,39.055,1
39.056,0,39.056,0
39.057,1,39.057,0
39.058,0,39.058,0
39.059,0,39.059,0
39.06,0,39.06,0
39.061,0,39.061,0
39.062,0,39.062,1
39.063,1,39.063,1
39.064,0,39.064,0
39.065,1,39.065,0
39.066,2,39.066,2
39.067,0,39.067,1
39.068,2,39.068,1
39.069,1,39.069,1
39.07,2,39.07,0
39.071,3,39.071,0
39.072,1,39.072,2
39.073,0,39.073,0
39.074,1,39.074,2
39.075,0,39.075,1
39.076,0,39.076,0
39.077,2,39.077,0
39.078,0,39.078,0
39.079,1,39.079,0
39.08,0,39.08,1
39.081,0,39.081,0
39.082,0,39.082,1
39.083,1,39.083,1
39.084,0,39.084,0
39.085,1,39.085,0
39.086,2,39.086,2
39.087,0,39.087,1
39.088,2,39.088,1
39.089,1,39.089,1
39.09,2,39.09,0
39.091,1,39.091,0
39.092,1,39.092,1
39.093,0,39.093,0
39.094,1,39.094,3
39.095,0,39.095,0
39.096,0,39.096,0
39.097,1,39.097,0
39.098,0,39.098,0
39.099,0,39.099,0
39.1,0,39.1,1
39.101,0,39.101,0
39.102,0,39.102,1
39.103,1,39.103,1
39.104,0,39.104,0
39.105,1,39.105,0
39.106,2,39.106,2
39.107,0,39.107,1
39.108,2,39.108,1
39.109,1,39.109,1
39.11,2,39.11,0
39.111,2,39.111,0
39.112,1,39.112,2
39.113,0,39.113,0
39.114,1,39.114,3
39.115,0,39.115,0
39.116,0,39.116,0
39.117,0,39.117,0
39.118,0,39.118,0
39.119,0,39.119,0
39.12,0,39.12,1
39.121,0,39.121,0
39.122,0,39.122,1
39.123,1,39.123,1
39.124,0,39.124,0
39.125,1,39.125,0
39.126,2,39.126,2
39.127,0,39.127,1
39.128,2,39.128,1
39.129,1,39.129,1
39.13,2,39.13,0
39.131,1,39.131,0
39.132,0,39.132,2
39.133,1,39.133,0
39.134,0,39.134,3
39.135,0,39.135,0
39.136,0,39.136,0
39.137,0,39.137,0
39.138,0,39.138,0
39.139,0,39.139,0
39.14,0,39.14,0
39.141,0,39.141,0
39.142,0,39.142,1
39.143,1,39.143,1
39.144,0,39.144,0
39.145,1,39.145,0
39.146,2,39.146,2
39.147,0,39.147,1
39.148,2,39.148,1
39.149,1,39.149,1
39.15,2,39.15,0
39.151,1,39.151,0
39.152,0,39.152,3
39.153,1,39.153,0
39.154,0,39.154,2
39.155,0,39.155,1
39.156,0,39.156,0
39.157,0,39.157,0
39.158,0,39.158,0
39.159,0,39.159,0
39.16,0,39.16,0
39.161,0,39.161,0
39.162,0,39.162,1
39.163,1,39.163,1
39.164,0,39.164,0
39.165,1,39.165,0
39.166,2,39.166,2
39.167,0,39.167,1
39.168,2,39.168,1
39.169,1,39.169,1
39.17,2,39.17,0
39.171,2,39.171,0
39.172,0,39.172,3
39.173,0,39.173,0
39.174,0,39.174,2
39.175,0,39.175,1
39.176,0,39.176,0
39.177,0,39.177,0
39.178,0,39.178,0
39.179,0,39.179,0
39.18,0,39.18,0
39.181,0,39.181,0
39.182,0,39.182,1
39.183,1,39.183,1
39.184,0,39.184,0
39.185,1,39.185,0
39.186,2,39.186,2
39.187,0,39.187,1
39.188,2,39.188,1
39.189,1,39.189,1
39.19,2,39.19,0
39.191,3,39.191,0
39.192,0,39.192,3
39.193,0,39.193,0
39.194,1,39.194,2
39.195,0,39.195,1
39.196,1,39.196,0
39.197,0,39.197,0
39.198,0,39.198,0
39.199,1,39.199,0
39.2,0,39.2,1
39.201,0,39.201,0
39.202,0,39.202,1
39.203,1,39.203,1
39.204,0,39.204,0
39.205,1,39.205,0
39.206,2,39.206,2
39.207,0,39.207,1
39.208,2,39.208,1
39.209,1,39.209,1
39.21,2,39.21,0
39.211,2,39.211,0
39.212,0,39.212,2
39.213,0,39.213,0
39.214,1,39.214,3
39.215,0,39.215,0
39.216,0,39.216,0
39.217,0,39.217,0
39.218,0,39.218,0
39.219,1,39.219,0
39.22,0,39.22,1
39.221,0,39.221,0
39.222,0,39.222,1
39.223,1,39.223,1
39.224,0,39.224,0
39.225,1,39.225,0
39.226,2,39.226,2
39.227,0,39.227,1
39.228,2,39.228,1
39.229,1,39.229,1
39.23,2,39.23,0
39.231,1,39.231,0
39.232,0,39.232,2
39.233,0,39.233,0
39.234,1,39.234,3
39.235,0,39.235,0
39.236,0,39.236,0
39.237,0,39.237,0
39.238,0,39.238,0
39.239,0,39.239,0
39.24,0,39.24,1
39.241,0,39.241,0
39.242,0,39.242,1
39.243,1,39.243,1
39.244,0,39.244,0
39.245,1,39.245,0
39.246,2,39.246,2
39.247,0,39.247,1
39.248,2,39.248,1
39.249,1,39.249,1
39.25,2,39.25,0
39.251,2,39.251,0
39.252,0,39.252,2
39.253,1,39.253,0
39.254,0,39.254,3
39.255,0,39.255,0
39.256,0,39.256,0
39.257,0,39.257,0
39.258,0,39.258,0
39.259,0,39.259,0
39.26,0,39.26,0
39.261,0,39.261,0
39.262,0,39.262,1
39.263,1,39.263,1
39.264,0,39.264,0
39.265,1,39.265,0
39.266,2,39.266,2
39.267,0,39.267,1
39.268,2,39.268,1
39.269,1,39.269,1
39.27,2,39.27,0
39.271,2,39.271,0
39.272,0,39.272,3
39.273,1,39.273,0
39.274,0,39.274,3
39.275,0,39.275,1
39.276,0,39.276,0
39.277,0,39.277,0
39.278,0,39.278,0
39.279,0,39.279,0
39.28,0,39.28,0
39.281,0,39.281,0
39.282,0,39.282,1
39.283,1,39.283,1
39.284,0,39.284,0
39.285,1,39.285,0
39.286,2,39.286,2
39.287,0,39.287,1
39.288,2,39.288,1
39.289,1,39.289,1
39.29,2,39.29,0
39.291,2,39.291,0
39.292,0,39.292,3
39.293,0,39.293,0
39.294,0,39.294,2
39.295,0,39.295,1
39.296,0,39.296,0
39.297,0,39.297,0
39.298,0,39.298,0
39.299,0,39.299,0
39.3,0,39.3,0
39.301,0,39.301,0
39.302,0,39.302,1
39.303,1,39.303,1
39.304,0,39.304,0
39.305,1,39.305,0
39.306,2,39.306,2
39.307,0,39.307,1
39.308,2,39.308,1
39.309,1,39.309,1
39.31,2,39.31,0
39.311,2,39.311,0
39.312,0,39.312,3
39.313,0,39.313,0
39.314,1,39.314,3
39.315,0,39.315,1
39.316,0,39.316,0
39.317,0,39.317,0
39.318,0,39.318,0
39.319,1,39.319,0
39.32,0,39.32,1
39.321,0,39.321,0
39.322,0,39.322,1
39.323,1,39.323,1
39.324,0,39.324,0
39.325,1,39.325,0
39.326,2,39.326,2
39.327,0,39.327,1
39.328,2,39.328,1
39.329,1,39.329,1
39.33,2,39.33,0
39.331,2,39.331,0
39.332,0,39.332,2
39.333,0,39.333,0
39.334,1,39.334,3
39.335,0,39.335,0
39.336,0,39.336,0
39.337,0,39.337,0
39.338,0,39.338,0
39.339,1,39.339,0
39.34,0,39.34,1
39.341,0,39.341,0
39.342,0,39.342,1
39.343,1,39.343,1
39.344,0,39.344,0
39.345,1,39.345,0
39.346,2,39.346,2
39.347,0,39.347,1
39.348,2,39.348,2
39.349,1,39.349,1
39.35,2,39.35,0
39.351,2,39.351,0
39.352,0,39.352,2
39.353,1,39.353,0
39.354,1,39.354,3
39.355,0,39.355,0
39.356,0,39.356,0
39.357,0,39.357,0
39.358,0,39.358,0
39.359,0,39.359,0
39.36,0,39.36,1
39.361,0,39.361,0
39.362,0,39.362,1
39.363,1,39.363,1
39.364,0,39.364,0
39.365,1,39.365,0
39.366,2,39.366,2
39.367,0,39.367,1
39.368,3,39.368,1
39.369,1,39.369,1
39.37,2,39.37,0
39.371,2,39.371,0
39.372,0,39.372,2
39.373,1,39.373,0
39.374,0,39.374,3
39.375,0,39.375,0
39.376,0,39.376,0
39.377,0,39.377,0
39.378,0,39.378,0
39.379,0,39.379,0
39.38,0,39.38,0
39.381,0,39.381,0
39.382,0,39.382,1
39.383,1,39.383,1
39.384,0,39.384,0
39.385,1,39.385,0
39.386,2,39.386,2
39.387,0,39.387,1
39.388,2,39.388,1
39.389,1,39.389,2
39.39,2,39.39,0
39.391,1,39.391,0
39.392,0,39.392,3
39.393,0,39.393,0
39.394,0,39.394,2
39.395,0,39.395,1
39.396,0,39.396,0
39.397,0,39.397,0
39.398,0,39.398,0
39.399,0,39.399,0
39.4,0,39.4,0
39.401,0,39.401,0
39.402,0,39.402,1
39.403,1,39.403,1
39.404,0,39.404,0
39.405,1,39.405,0
39.406,2,39.406,2
39.407,0,39.407,1
39.408,2,39.408,1
39.409,1,39.409,2
39.41,2,39.41,0
39.411,1,39.411,0
39.412,0,39.412,3
39.413,0,39.413,0
39.414,0,39.414,2
39.415,0,39.415,1
39.416,0,39.416,0
39.417,0,39.417,0
39.418,0,39.418,0
39.419,0,39.419,0
39.42,0,39.42,0
39.421,0,39.421,0
39.422,0,39.422,1
39.423,1,39.423,1
39.424,0,39.424,0
39.425,1,39.425,0
39.426,2,39.426,2
39.427,0,39.427,1
39.428,3,39.428,1
39.429,1,39.429,2
39.43,2,39.43,0
39.431,3,39.431,0
39.432,0,39.432,3
39.433,0,39.433,0
39.434,1,39.434,3
39.435,0,39.435,1
39.436,0,39.436,0
39.437,0,39.437,0
39.438,0,39.438,0
39.439,1,39.439,0
39.44,0,39.44,1
39.441,0,39.441,0
39.442,0,39.442,1
39.443,1,39.443,1
39.444,0,39.444,0
39.445,1,39.445,0
39.446,2,39.446,2
39.447,0,39.447,1
39.448,3,39.448,1
39.449,1,39.449,1
39.45,2,39.45,0
39.451,3,39.451,0
39.452,0,39.452,2
39.453,0,39.453,0
39.454,1,39.454,3
39.455,0,39.455,0
39.456,0,39.456,0
39.457,0,39.457,0
39.458,0,39.458,0
39.459,0,39.459,0
39.46,0,39.46,1
39.461,0,39.461,0
39.462,0,39.462,1
39.463,1,39.463,1
39.464,0,39.464,0
39.465,1,39.465,0
39.466,2,39.466,2
39.467,0,39.467,1
39.468,3,39.468,1
39.469,1,39.469,1
39.47,2,39.47,0
39.471,1,39.471,0
39.472,0,39.472,2
39.473,1,39.473,0
39.474,1,39.474,3
39.475,0,39.475,0
39.476,0,39.476,0
39.477,0,39.477,0
39.478,0,39.478,0
39.479,1,39.479,0
39.48,0,39.48,1
39.481,0,39.481,0
39.482,0,39.482,1
39.483,1,39.483,1
39.484,0,39.484,0
39.485,1,39.485,0
39.486,2,39.486,2
39.487,0,39.487,1
39.488,2,39.488,1
39.489,1,39.489,1
39.49,2,39.49,0
39.491,1,39.491,0
39.492,0,39.492,2
39.493,1,39.493,0
39.494,0,39.494,2
39.495,0,39.495,0
39.496,0,39.496,0
39.497,0,39.497,0
39.498,0,39.498,0
39.499,0,39.499,0
39.5,0,39.5,0
39.501,0,39.501,0
39.502,0,39.502,1
39.503,1,39.503,1
39.504,0,39.504,0
39.505,1,39.505,0
39.506,2,39.506,2
39.507,0,39.507,1
39.508,2,39.508,1
39.509,1,39.509,2
39.51,2,39.51,0
39.511,2,39.511,0
39.512,0,39.512,3
39.513,1,39.513,0
39.514,0,39.514,3
39.515,0,39.515,1
39.516,0,39.516,0
39.517,0,39.517,0
39.518,0,39.518,0
39.519,0,39.519,0
39.52,0,39.52,0
39.521,0,39.521,0
39.522,0,39.522,1
39.523,1,39.523,1
39.524,0,39.524,0
39.525,1,39.525,0
39.526,2,39.526,2
39.527,0,39.527,1
39.528,2,39.528,1
39.529,1,39.529,2
39.53,2,39.53,0
39.531,2,39.531,0
39.532,0,39.532,3
39.533,0,39.533,0
39.534,0,39.534,3
39.535,0,39.535,1
39.536,0,39.536,0
39.537,0,39.537,0
39.538,0,39.538,0
39.539,0,39.539,0
39.54,0,39.54,0
39.541,0,39.541,0
39.542,0,39.542,1
39.543,1,39.543,1
39.544,0,39.544,0
39.545,1,39.545,0
39.546,2,39.546,2
39.547,0,39.547,1
39.548,3,39.548,1
39.549,1,39.549,2
39.55,2,39.55,0
39.551,2,39.551,0
39.552,0,39.552,3
39.553,1,39.553,0
39.554,1,39.554,3
39.555,0,39.555,1
39.556,0,39.556,0
39.557,0,39.557,0
39.558,0,39.558,0
39.559,0,39.559,0
39.56,0,39.56,1
39.561,0,39.561,0
39.562,0,39.562,1
39.563,1,39.563,1
39.564,0,39.564,0
39.565,1,39.565,0
39.566,2,39.566,2
39.567,0,39.567,1
39.568,3,39.568,1
39.569,1,39.569,1
39.57,2,39.57,0
39.571,3,39.571,0
39.572,0,39.572,2
39.573,1,39.573,0
39.574,1,39.574,2
39.575,0,39.575,0
39.576,0,39.576,0
39.577,0,39.577,0
39.578,0,39.578,0
39.579,1,39.579,0
39.58,0,39.58,1
39.581,0,39.581,0
39.582,0,39.582,1
39.583,1,39.583,1
39.584,0,39.584,0
39.585,1,39.585,0
39.586,2,39.586,2
39.587,0,39.587,1
39.588,2,39.588,1
39.589,1,39.589,1
39.59,2,39.59,0
39.591,2,39.591,0
39.592,0,39.592,2
39.593,0,39.593,0
39.594,1,39.594,2
39.595,0,39.595,0
39.596,0,39.596,0
39.597,0,39.597,0
39.598,0,39.598,0
39.599,1,39.599,0
39.6,0,39.6,1
39.601,0,39.601,0
39.602,0,39.602,1
39.603,1,39.603,1
39.604,0,39.604,0
39.605,1,39.605,0
39.606,2,39.606,2
39.607,0,39.607,1
39.608,2,39.608,1
39.609,1,39.609,1
39.61,2,39.61,0
39.611,1,39.611,0
39.612,0,39.612,2
39.613,0,39.613,0
39.614,0,39.614,2
39.615,0,39.615,0
39.616,0,39.616,0
39.617,0,39.617,0
39.618,0,39.618,0
39.619,0,39.619,0
39.62,0,39.62,0
39.621,0,39.621,0
39.622,0,39.622,1
39.623,1,39.623,1
39.624,0,39.624,0
39.625,1,39.625,0
39.626,2,39.626,2
39.627,0,39.627,1
39.628,2,39.628,1
39.629,1,39.629,2
39.63,2,39.63,0
39.631,1,39.631,0
39.632,0,39.632,3
39.633,0,39.633,0
39.634,0,39.634,3
39.635,0,39.635,1
39.636,0,39.636,0
39.637,0,39.637,0
39.638,0,39.638,0
39.639,0,39.639,0
39.64,0,39.64,0
39.641,0,39.641,0
39.642,0,39.642,1
39.643,1,39.643,1
39.644,0,39.644,0
39.645,1,39.645,0
39.646,2,39.646,2
39.647,0,39.647,1
39.648,2,39.648,1
39.649,1,39.649,2
39.65,2,39.65,0
39.651,2,39.651,0
39.652,0,39.652,3
39.653,0,39.653,0
39.654,0,39.654,3
39.655,0,39.655,1
39.656,0,39.656,0
39.657,0,39.657,0
39.658,0,39.658,0
39.659,0,39.659,0
39.66,0,39.66,0
39.661,0,39.661,0
39.662,0,39.662,1
39.663,1,39.663,1
39.664,0,39.664,0
39.665,1,39.665,0
39.666,1,39.666,2
39.667,0,39.667,1
39.668,3,39.668,1
39.669,1,39.669,2
39.67,2,39.67,0
39.671,2,39.671,0
39.672,0,39.672,2
39.673,0,39.673,0
39.674,1,39.674,3
39.675,0,39.675,1
39.676,0,39.676,0
39.677,0,39.677,0
39.678,0,39.678,0
39.679,0,39.679,0
39.68,0,39.68,1
39.681,0,39.681,0
39.682,0,39.682,1
39.683,1,39.683,1
39.684,0,39.684,0
39.685,1,39.685,0
39.686,1,39.686,2
39.687,0,39.687,1
39.688,3,39.688,1
39.689,1,39.689,1
39.69,2,39.69,0
39.691,2,39.691,0
39.692,0,39.692,2
39.693,1,39.693,0
39.694,1,39.694,3
39.695,0,39.695,0
39.696,0,39.696,0
39.697,2,39.697,0
39.698,0,39.698,0
39.699,0,39.699,0
39.7,0,39.7,0
39.701,0,39.701,0
39.702,0,39.702,1
39.703,3,39.703,1
39.704,0,39.704,0
39.705,1,39.705,0
39.706,1,39.706,2
39.707,0,39.707,1
39.708,3,39.708,1
39.709,1,39.709,2
39.71,2,39.71,0
39.711,2,39.711,0
39.712,0,39.712,2
39.713,1,39.713,0
39.714,1,39.714,3
39.715,0,39.715,1
39.716,0,39.716,0
39.717,0,39.717,0
39.718,0,39.718,0
39.719,1,39.719,0
39.72,0,39.72,0
39.721,0,39.721,0
39.722,0,39.722,1
39.723,1,39.723,1
39.724,0,39.724,0
39.725,1,39.725,0
39.726,2,39.726,2
39.727,0,39.727,1
39.728,2,39.728,1
39.729,1,39.729,2
39.73,2,39.73,0
39.731,3,39.731,0
39.732,1,39.732,3
39.733,0,39.733,0
39.734,0,39.734,3
39.735,0,39.735,1
39.736,0,39.736,0
39.737,0,39.737,0
39.738,0,39.738,0
39.739,0,39.739,0
39.74,0,39.74,0
39.741,0,39.741,0
39.742,0,39.742,1
39.743,1,39.743,1
39.744,0,39.744,0
39.745,1,39.745,0
39.746,2,39.746,2
39.747,0,39.747,1
39.748,3,39.748,1
39.749,1,39.749,2
39.75,2,39.75,0
39.751,2,39.751,0
39.752,0,39.752,2
39.753,1,39.753,0
39.754,1,39.754,3
39.755,0,39.755,1
39.756,0,39.756,0
39.757,0,39.757,0
39.758,0,39.758,0
39.759,1,39.759,0
39.76,0,39.76,1
39.761,0,39.761,0
39.762,0,39.762,1
39.763,1,39.763,1
39.764,0,39.764,0
39.765,1,39.765,0
39.766,2,39.766,2
39.767,0,39.767,1
39.768,3,39.768,1
39.769,1,39.769,1
39.77,2,39.77,0
39.771,2,39.771,0
39.772,1,39.772,2
39.773,1,39.773,0
39.774,1,39.774,2
39.775,0,39.775,0
39.776,0,39.776,0
39.777,0,39.777,0
39.778,0,39.778,0
39.779,1,39.779,0
39.78,0,39.78,1
39.781,0,39.781,0
39.782,0,39.782,1
39.783,1,39.783,1
39.784,0,39.784,0
39.785,1,39.785,0
39.786,2,39.786,2
39.787,0,39.787,1
39.788,2,39.788,1
39.789,1,39.789,1
39.79,2,39.79,0
39.791,2,39.791,0
39.792,1,39.792,2
39.793,0,39.793,0
39.794,0,39.794,3
39.795,0,39.795,0
39.796,0,39.796,0
39.797,0,39.797,0
39.798,0,39.798,1
39.799,0,39.799,0
39.8,0,39.8,0
39.801,0,39.801,0
39.802,0,39.802,1
39.803,1,39.803,1
39.804,0,39.804,0
39.805,1,39.805,0
39.806,1,39.806,2
39.807,0,39.807,1
39.808,2,39.808,1
39.809,1,39.809,2
39.81,2,39.81,0
39.811,1,39.811,0
39.812,0,39.812,2
39.813,0,39.813,0
39.814,0,39.814,3
39.815,0,39.815,1
39.816,0,39.816,0
39.817,0,39.817,0
39.818,0,39.818,0
39.819,0,39.819,0
39.82,0,39.82,0
39.821,0,39.821,0
39.822,0,39.822,1
39.823,1,39.823,1
39.824,0,39.824,0
39.825,1,39.825,0
39.826,1,39.826,2
39.827,0,39.827,1
39.828,2,39.828,1
39.829,1,39.829,2
39.83,2,39.83,0
39.831,1,39.831,0
39.832,1,39.832,2
39.833,0,39.833,0
39.834,0,39.834,3
39.835,0,39.835,1
39.836,0,39.836,0
39.837,0,39.837,0
39.838,0,39.838,0
39.839,0,39.839,0
39.84,0,39.84,0
39.841,0,39.841,0
39.842,0,39.842,1
39.843,1,39.843,1
39.844,0,39.844,0
39.845,1,39.845,0
39.846,1,39.846,2
39.847,0,39.847,1
39.848,3,39.848,1
39.849,1,39.849,1
39.85,2,39.85,0
39.851,2,39.851,0
39.852,0,39.852,2
39.853,1,39.853,0
39.854,1,39.854,3
39.855,0,39.855,1
39.856,0,39.856,0
39.857,0,39.857,0
39.858,0,39.858,0
39.859,0,39.859,0
39.86,0,39.86,0
39.861,0,39.861,0
39.862,0,39.862,1
39.863,1,39.863,1
39.864,0,39.864,0
39.865,1,39.865,0
39.866,1,39.866,2
39.867,0,39.867,1
39.868,3,39.868,1
39.869,1,39.869,1
39.87,2,39.87,0
39.871,2,39.871,0
39.872,0,39.872,2
39.873,1,39.873,0
39.874,2,39.874,3
39.875,0,39.875,1
39.876,0,39.876,0
39.877,1,39.877,0
39.878,0,39.878,0
39.879,0,39.879,0
39.88,0,39.88,2
39.881,0,39.881,0
39.882,0,39.882,1
39.883,4,39.883,1
39.884,0,39.884,0
39.885,1,39.885,0
39.886,1,39.886,2
39.887,0,39.887,1
39.888,3,39.888,1
39.889,2,39.889,1
39.89,2,39.89,0
39.891,1,39.891,0
39.892,0,39.892,1
39.893,1,39.893,0
39.894,3,39.894,2
39.895,0,39.895,0
39.896,0,39.896,0
39.897,0,39.897,0
39.898,0,39.898,0
39.899,1,39.899,0
39.9,0,39.9,1
39.901,0,39.901,0
39.902,0,39.902,1
39.903,1,39.903,1
39.904,0,39.904,0
39.905,1,39.905,0
39.906,2,39.906,2
39.907,0,39.907,1
39.908,2,39.908,1
39.909,1,39.909,1
39.91,2,39.91,0
39.911,2,39.911,0
39.912,1,39.912,2
39.913,0,39.913,0
39.914,1,39.914,2
39.915,0,39.915,0
39.916,0,39.916,0
39.917,0,39.917,0
39.918,0,39.918,0
39.919,1,39.919,0
39.92,0,39.92,1
39.921,0,39.921,0
39.922,0,39.922,1
39.923,1,39.923,1
39.924,0,39.924,0
39.925,1,39.925,0
39.926,2,39.926,2
39.927,0,39.927,1
39.928,2,39.928,1
39.929,1,39.929,1
39.93,2,39.93,0
39.931,1,39.931,0
39.932,0,39.932,2
39.933,0,39.933,0
39.934,0,39.934,2
39.935,0,39.935,0
39.936,0,39.936,0
39.937,0,39.937,0
39.938,0,39.938,0
39.939,0,39.939,0
39.94,0,39.94,0
39.941,0,39.941,0
39.942,0,39.942,1
39.943,1,39.943,1
39.944,0,39.944,0
39.945,1,39.945,0
39.946,2,39.946,2
39.947,0,39.947,1
39.948,2,39.948,1
39.949,1,39.949,1
39.95,2,39.95,0
39.951,1,39.951,0
39.952,0,39.952,3
39.953,0,39.953,0
39.954,0,39.954,3
39.955,0,39.955,1
39.956,0,39.956,0
39.957,0,39.957,0
39.958,0,39.958,0
39.959,0,39.959,0
39.96,0,39.96,0
39.961,0,39.961,0
39.962,0,39.962,1
39.963,1,39.963,1
39.964,0,39.964,0
39.965,1,39.965,0
39.966,2,39.966,2
39.967,0,39.967,1
39.968,2,39.968,1
39.969,1,39.969,1
39.97,2,39.97,0
39.971,2,39.971,0
39.972,0,39.972,3
39.973,0,39.973,0
39.974,0,39.974,3
39.975,0,39.975,1
39.976,0,39.976,0
39.977,0,39.977,0
39.978,0,39.978,0
39.979,0,39.979,0
39.98,0,39.98,0
39.981,0,39.981,0
39.982,0,39.982,1
39.983,1,39.983,1
39.984,0,39.984,0
39.985,1,39.985,0
39.986,2,39.986,2
39.987,0,39.987,1
39.988,2,39.988,1
39.989,1,39.989,1
39.99,2,39.99,0
39.991,3,39.991,0
39.992,0,39.992,3
39.993,1,39.993,0
39.994,1,39.994,3
39.995,0,39.995,1
39.996,0,39.996,0
39.997,0,39.997,0
39.998,0,39.998,0
39.999,0,39.999,0
40,0,40,1
40.001,0,40.001,0
40.002,0,40.002,1
40.003,1,40.003,1
40.004,0,40.004,0
40.005,1,40.005,0
40.006,2,40.006,2
40.007,0,40.007,1
40.008,2,40.008,1
40.009,2,40.009,1
40.01,2,40.01,0
40.011,2,40.011,0
40.012,0,40.012,2
40.013,1,40.013,0
40.014,1,40.014,2
40.015,0,40.015,0
40.016,0,40.016,0
40.017,0,40.017,0
40.018,0,40.018,0
40.019,0,40.019,0
40.02,0,40.02,1
40.021,0,40.021,0
40.022,0,40.022,1
40.023,1,40.023,1
40.024,0,40.024,0
40.025,1,40.025,0
40.026,2,40.026,2
40.027,0,40.027,1
40.028,2,40.028,1
40.029,2,40.029,1
40.03,2,40.03,0
40.031,1,40.031,0
40.032,0,40.032,2
40.033,0,40.033,0
40.034,1,40.034,2
40.035,0,40.035,0
40.036,0,40.036,0
40.037,0,40.037,0
40.038,0,40.038,0
40.039,1,40.039,0
40.04,0,40.04,1
40.041,0,40.041,0
40.042,0,40.042,1
40.043,1,40.043,1
40.044,0,40.044,0
40.045,1,40.045,0
40.046,2,40.046,2
40.047,0,40.047,1
40.048,2,40.048,1
40.049,2,40.049,1
40.05,2,40.05,0
40.051,2,40.051,0
40.052,0,40.052,2
40.053,0,40.053,0
40.054,0,40.054,2
40.055,0,40.055,0
40.056,0,40.056,0
40.057,0,40.057,0
40.058,0,40.058,0
40.059,0,40.059,0
40.06,0,40.06,0
40.061,0,40.061,0
40.062,0,40.062,1
40.063,1,40.063,1
40.064,0,40.064,0
40.065,1,40.065,0
40.066,2,40.066,2
40.067,0,40.067,1
40.068,2,40.068,1
40.069,1,40.069,1
40.07,2,40.07,0
40.071,2,40.071,0
40.072,0,40.072,3
40.073,0,40.073,0
40.074,0,40.074,3
40.075,0,40.075,1
40.076,0,40.076,0
40.077,0,40.077,0
40.078,0,40.078,0
40.079,0,40.079,0
40.08,0,40.08,0
40.081,0,40.081,0
40.082,0,40.082,1
40.083,1,40.083,1
40.084,0,40.084,0
40.085,1,40.085,0
40.086,2,40.086,2
40.087,0,40.087,1
40.088,2,40.088,1
40.089,1,40.089,1
40.09,2,40.09,0
40.091,1,40.091,0
40.092,0,40.092,3
40.093,0,40.093,0
40.094,0,40.094,3
40.095,0,40.095,1
40.096,0,40.096,0
40.097,0,40.097,0
40.098,0,40.098,0
40.099,0,40.099,0
40.1,0,40.1,0
40.101,0,40.101,0
40.102,0,40.102,1
40.103,1,40.103,1
40.104,0,40.104,0
40.105,1,40.105,0
40.106,2,40.106,2
40.107,0,40.107,1
40.108,2,40.108,1
40.109,1,40.109,1
40.11,2,40.11,0
40.111,2,40.111,0
40.112,0,40.112,3
40.113,1,40.113,0
40.114,1,40.114,3
40.115,0,40.115,1
40.116,0,40.116,0
40.117,0,40.117,0
40.118,0,40.118,0
40.119,0,40.119,0
40.12,0,40.12,0
40.121,0,40.121,0
40.122,0,40.122,1
40.123,1,40.123,1
40.124,0,40.124,0
40.125,1,40.125,0
40.126,2,40.126,2
40.127,0,40.127,1
40.128,2,40.128,1
40.129,1,40.129,1
40.13,2,40.13,0
40.131,3,40.131,0
40.132,0,40.132,3
40.133,1,40.133,0
40.134,1,40.134,3
40.135,0,40.135,1
40.136,0,40.136,0
40.137,1,40.137,0
40.138,0,40.138,0
40.139,1,40.139,0
40.14,0,40.14,0
40.141,0,40.141,0
40.142,0,40.142,1
40.143,1,40.143,1
40.144,0,40.144,0
40.145,1,40.145,0
40.146,2,40.146,2
40.147,0,40.147,1
40.148,2,40.148,1
40.149,1,40.149,1
40.15,2,40.15,0
40.151,2,40.151,0
40.152,0,40.152,3
40.153,0,40.153,0
40.154,1,40.154,3
40.155,0,40.155,1
40.156,0,40.156,0
40.157,0,40.157,0
40.158,0,40.158,0
40.159,1,40.159,0
40.16,0,40.16,0
40.161,0,40.161,1
40.162,0,40.162,1
40.163,1,40.163,1
40.164,0,40.164,0
40.165,1,40.165,0
40.166,1,40.166,2
40.167,0,40.167,1
40.168,2,40.168,1
40.169,1,40.169,2
40.17,2,40.17,0
40.171,1,40.171,0
40.172,0,40.172,2
40.173,0,40.173,0
40.174,1,40.174,3
40.175,0,40.175,1
40.176,0,40.176,0
40.177,0,40.177,0
40.178,0,40.178,0
40.179,0,40.179,0
40.18,0,40.18,1
40.181,0,40.181,0
40.182,0,40.182,1
40.183,0,40.183,1
40.184,0,40.184,0
40.185,1,40.185,0
40.186,1,40.186,2
40.187,0,40.187,1
40.188,2,40.188,1
40.189,1,40.189,1
40.19,2,40.19,0
40.191,2,40.191,0
40.192,0,40.192,2
40.193,1,40.193,0
40.194,0,40.194,2
40.195,0,40.195,0
40.196,0,40.196,0
40.197,2,40.197,0
40.198,0,40.198,0
40.199,0,40.199,0
40.2,0,40.2,0
40.201,0,40.201,0
